scale_1,scale_2,scale_3,scale_4,scale_5,scale_6,scale_7,scale_8,scale_9,scale_10,scale_11,scale_12,scale_13,scale_14,scale_15,scale_16,scale_17,scale_18
0.3967756,0.34134513,0.51831895,0.42355463,0.39650556,0.59445333,0.37827736,0.39267427,0.7598015,0.40582585,0.3579341,0.72313154,0.41773322,0.70223236,0.6649835,0.38440338,0.3861517,0.42428175
0.38740477,0.2520197,0.81160504,0.38770318,0.3212909,0.38600922,0.31835157,0.34392357,0.54801863,0.37112272,0.27731106,0.40014824,0.336057,0.42269358,0.37987304,0.27536106,0.2807643,0.3509424
0.29214945,0.24814902,0.6161103,0.32316753,0.31865495,0.29880583,0.2361952,0.31403446,0.41970888,0.2965154,0.25400147,0.2636542,0.24247828,0.30361322,0.23153064,0.23511218,0.25526685,0.328415
0.2861365,0.2018321,0.5636811,0.26810518,0.24420857,0.2784648,0.25353238,0.27765295,0.36722052,0.23828983,0.21823499,0.24181744,0.20805456,0.32075635,0.25207236,0.20436141,0.21649139,0.24334407
0.3260401,0.22452606,0.7387969,0.3451337,0.29809037,0.301915,0.3001982,0.31618547,0.4510256,0.30500218,0.23429082,0.30037323,0.29216984,0.34901932,0.30319095,0.22581245,0.27245134,0.31909028
0.27623034,0.20169143,0.57487327,0.3236579,0.27564922,0.3822676,0.21930915,0.27622622,0.52884835,0.3070999,0.20424806,0.39035013,0.24292886,0.3457122,0.3449376,0.21704113,0.2580016,0.3351078
0.87296104,0.8138402,0.3849098,0.92198944,0.8344598,0.373452,0.9497938,0.8749293,0.38653362,0.9012312,0.77070713,0.33486813,0.86982644,0.37042934,0.38330817,0.7744862,0.7660632,0.8243542
0.23640397,0.18492179,0.28459525,0.20583305,0.22325733,0.41198635,0.22660333,0.212967,0.47242942,0.2554207,0.196092,0.4370329,0.21743345,0.35439205,0.42319334,0.1977049,0.21520019,0.23473507
0.318055,0.29575974,0.47724313,0.35675475,0.3275025,0.3061211,0.32926285,0.36181894,0.3604313,0.34272423,0.28491488,0.3061152,0.32135445,0.2660678,0.2967191,0.31900337,0.3168258,0.3201489
0.27826145,0.19044203,0.6545687,0.3043996,0.25338134,0.31913316,0.23418608,0.28143576,0.37580875,0.28310218,0.21089768,0.26074645,0.23956044,0.3039289,0.26182494,0.19946258,0.19435307,0.2975192
